นิติบุคคลจัดตั้งเดือนมีนาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
74,0105559054088,บจ.เอบีซี อินเตอร์เทรด คอร์ปอเรชั่น จำกัด,30/3/2559," 5,000,000 ",45101,ประกอบกิจการนำเข้า ส่งออก รถยนต์ รถจักรยานยนต์ อะไหล่ เครื่องจักรกลการเกษตรทุกชนิด,160/20 ซอยสุขุมวิท 55  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
75,0105559054169,บจ.คิง เรียลเอสเตท จำกัด,30/3/2559," 5,000,000 ",68102,ประกอบกิจการ ซื้อ ขาย เช่า ให้เช่า อสังหาริมทรัพย์ สังหาริมทรัพย์,28 ซอยสุขุมวิท 22  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
76,0105559055017,บจ.กว่านตง ลีไว อิเล็คทริคอล (ไทยแลนด์) จำกัด,31/3/2559," 5,000,000 ",46422,ประกอบกิจการค้าหลอดไฟ และอุปกรณ์ที่เกี่ยวข้อง,79/185 ซอยสุขุมวิท 46  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
77,0105559039275,บจ.อลิซ เกม จำกัด,7/3/2559," 5,000,000 ",58202,พัฒนาแอพพลิเคชั่น ดิจิตอลซอฟแวร์บันเทิง,1 อาคารเอ็มไพร์ ทาวเวอร์ ชั้นที่ 47 ห้องเลขที่ 4703 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120
78,0105559041547,บจ.โกลเด้น เอ็นจิเนียร์ จำกัด,9/3/2559," 5,000,000 ",43210,ให้บริการทางวิศวกรรมสำหรับโรงไฟฟ้าพลังงาน,651/221 ซอยสวยพลู1  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
79,0105559052522,บจ.อินทีเกรีย จำกัด,28/3/2559," 5,000,000 ",46900,ประกอบกิจการค้าส่ง ค้าปลีก ร้านขายยา ร้านขายของชำ ซุปเปอร์มาเก็ต,1 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
80,0105559039666,บจ.เพียวโนเวชั่น จำกัด,7/3/2559," 5,000,000 ",20232,ประกอบกิจการผลิตและจำหน่าย เครื่องสำอาง ทุกชนิด ทุกประเภท,170 ซอยประชาอุทิศ 54 แยก 6  แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140
81,0105559052051,บจ.หยกแสง เทรด กรุ๊ป จำกัด,25/3/2559," 5,000,000 ",96101,ประกอบกิจการกิจกรรมสปา เพื่อความผ่อนคลาย ทั้งร่างกายและจิตใจ,30 ซอยสุขสวัสดิ์ 35  แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140
82,0103559003597,หจ.สไปก้า คลับ,4/3/2559," 5,000,000 ",93111,กิจกรรมด้านกีฬา สนามกีฬาฟุตซอล และแบตมิตตัน,52 ถนนท่าข้าม  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
83,0105559035784,บจ.ยูพีเอส อินเตอร์เนชั่นแนล จำกัด,1/3/2559," 5,000,000 ",45301,ประกอบกิจการค้า ซื้อ ขาย หมวกนิรภัย ชิ้นส่วนและอุปกรณ์เสริมยานยนต์,31 ซอยบางบอน 4 ซอย 8  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
84,0105559036543,บจ.บีเอสซี ไพพ์ (กรุงธน) จำกัด,1/3/2559," 5,000,000 ",68201,เป็นนายหน้า ตัวแทนค้าต่างในกิจการและธุรกิจทุกประเภท,1852 ซอยพระรามที่ 2 ซอย 43  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150
85,0105559038945,บจ.เอ็มบอส กรุ๊ป จำกัด,4/3/2559," 5,000,000 ",25910,ประกอบกิจการโรงงานตัดเหล็ก พับเหล็ก อัดเหล็กเป็นแท่งและโลหะอื่น,547 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
86,0105559047251,บจ.ธ รวมวัสดุ จำกัด,18/3/2559," 5,000,000 ",46639,ประกอบกิจการค้า วัสดุ อุปกรณ์ และเครื่องมือใช้ในการผลิต ประตู รั้ว ราวระเบียง ราวบันได,93/3 ถนนกาญจนาภิเษก  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
87,0105559048321,บจ.ไทยเหยียนเซิ่น จำกัด,21/3/2559," 5,000,000 ",46639,ประกอบกิจการนำเข้าและจำหน่ายเมทัลชีทและอุปกรณ์ก่อสร้าง เครื่องใช้ไฟฟ้า โลหะภัณฑ์และเฟอร์นิเจอร์,1325 ซอยพระรามที่ 2 ซอย 11  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150
88,0105559049050,บจ.อ๊อด ลิฟท์ เครน แอนด์ เซอร์วิส จำกัด,22/3/2559," 5,000,000 ",43299,รับติดตั้งและซ่อม ลิฟท์บรรทุก เครนโรงงาน มอเตอร์ทุกชนิด ระบบไฟฟ้าคอนโทรล รอกไฟฟ้า,87/432 ถนนกาญจนาภิเษก  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
89,0105559050457,บจ.ริช เอเชีย ยูทีลิตี้ส์ จำกัด,23/3/2559," 5,000,000 ",36009,บริการทรัพยากรน้ำ และสาธารณูปโภค,636 ถนนบางขุนเทียน-ชายทะเล  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
