นิติบุคคลจัดตั้งเดือนพฤษภาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
75,0105559070580,บจ.แรบบิท4พริ้นต์ จำกัด,4/5/2559," 5,000,000 ",82191,การถ่ายเอกสาร การพิมพ์หนังสือ สแกนหนังสือ สแกนไมโครฟิล์ม,40/44 ซอยวิภาวดีรังสิต 66  แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210
76,0105559077746,บจ.แองเจิลโอ๊ก โฮลดิ้ง จำกัด,19/5/2559," 5,000,000 ",64201,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,30/5 ซอยวิภาวดีรังสิต 60 (บางบัว)  แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210
77,0105559081336,บจ.ฐิติภัทร 2016 คอนสตรัคชั่น จำกัด,27/5/2559," 5,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,111/72 ซอยสุขาภิบาล 5 ซอย 27  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
78,0105559073902,บจ.สถานีการพิมพ์ จำกัด,13/5/2559," 5,000,000 ",18119,ผลิตและจำหน่ายสิ่งพิมพ์ กระดาษ งานทุกประเภทเกี่ยวกับสิ่งพิมพ์,11/186 ซอยวัชรพล 1/9  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
79,0105559081719,บจ.ทรัพย์วารี คอนสตรัคชั่น จำกัด,30/5/2559," 5,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,26 ซอยพหลโยธิน 48 แยก 41 ถนนพหลโยธิน  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
80,0105559071284,บจ.นีโอลูชั่น อีสปอร์ต ไซเบอร์ คาเฟ่ จำกัด,4/5/2559," 5,000,000 ",77306,ให้บริการเครื่องคอมพิวเตอร์เพื่อใช้อินเตอร์เน็ต ให้บริการเครื่องเล่นเกมส์,123 ถนนลาดปลาเค้า  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230
81,0105559073627,บจ.ธนสร แอสเสท จำกัด,13/5/2559," 5,000,000 ",68102,ประกอบกิจการ ซื้อ ขาย ให้เช่า และพัฒนาอสังหาริมทรัพย์,80 ซอย01 กาญจนาภิเษก 7/1  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230
82,0105559078718,บจ.เจเอซีพาวเวอร์ จำกัด,24/5/2559," 5,000,000 ",46599,จำหน่าย นำเข้า และส่งออก อุปกรณ์ อะไหล่ วัสดุสิ้นเปลืองสำหรับเครื่องจักรกลต่างๆ อุปกรณ์ไฟฟ้าทุกชนิด,456/32 ชั้น 3 ถนนนวลจันทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
83,0105559080844,บจ.ซีบีบี จำกัด,27/5/2559," 5,000,000 ",55101,โรงแรมรีสอร์ทและห้องสมุด,74/39 ถนนเสนิานิคม 1  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230
84,0105559081921,บจ.ธรรมภณ จำกัด,30/5/2559," 5,000,000 ",43120,ประกอบกิจการ บริการรับถมที่ดิน เครียร์พื้นที่ รับเหมาถมที่,151/162 ซอยนวลจันทร์ 56 แยก 2  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
85,0105559082014,บจ.ปัญญา ทาวน์ จำกัด,30/5/2559," 5,000,000 ",68101,ประกอบกิจการพัฒนาที่ดิน ให้เช่า ที่ดิน อาคาร โรงเรือน เพื่อการอยู่อาศัย,638 ถนนประเสริฐมนูกิจ  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
86,0105559082863,บจ.เวิลด์โรด อิมพอร์ต แอนด์ เอกพอร์ต จำกัด,31/5/2559," 5,000,000 ",46313,ประกอบกิจการนำเข้า ส่งออก พืชผักผลไม้ อาหารทุกชนิด เช่น ทุเรียน มังคุด เงาะ มะพร้าวน้ำหอม,168/127 หมู่บ้านเดอะเทรนด์ ถนนคู้บอน  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230
87,0105559073074,บจ.วี แอสเส็ท โฮม จำกัด,12/5/2559," 5,000,000 ",68101,ประกอบกิจการ ซื้อ ขาย ให้เช่า จำนอง บ้าน ที่ดิน อาคาร อาคารชุด อาคารสำนักงาน อาคารที่พักอาศัย,3530 ชั้น2 ถนนลาดพร้าว  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
88,0105559073775,บจ.ดับบลิวทูเอส เอนเตอร์ไพรส์ จำกัด,13/5/2559," 5,000,000 ",46633,ประกอบกิจการ ซื้อ ให้บริการจัดหา ซ่อมแซม งานสี งานผนัง,19/201 ซอยนวมินทร์ 30 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
89,0105559077479,บจ.ซีเอ็น พูนทรัพย์เทรดดิ้ง จำกัด,19/5/2559," 5,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,58 ซอยรามคำแหง 37 (ศิริเจริญ)  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
